id,nome_do_produto,marca,valor_de_custo,valor_de_venda,quantidade,codigo_interno,codigo_ncm,codigo_cfop,codigo_cest,origem_cst,descricao,CNPJ
135,"LIQUIDIFICADOR INDUSTRIAL L2 BIVOLT",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
136,"LIQUIDIFICADOR INDUSTRIAL LC10 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
137,"LIQUIDIFICADOR INDUSTRIAL LC10 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
138,"LIQUIDIFICADOR INDUSTRIAL LC8 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
139,"LIQUIDIFICADOR INDUSTRIAL LC8 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
140,"LIQUIDIFICADOR INDUSTRIAL LC6 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
141,"LIQUIDIFICADOR INDUSTRIAL LC6 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
142,"LIQUIDIFICADOR INDUSTRIAL LC4 127V",SKYMSEN,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
143,"LIQUIDIFICADOR INDUSTRIAL LC4 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
144,"LIQUIDIFICADOR INDUSTRIAL LC3 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
145,"LIQUIDIFICADOR INDUSTRIAL LC3 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
146,"LIQUIDIFICADOR INDUSTRIAL LC2 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
147,"LIQUIDIFICADOR INDUSTRIAL LC2 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
148,"EXTRATOR DE SUCO EX BIVOLT",SKYMSEN,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
149,"EXTRATOR DE SUCO EX SUPER BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
150,"EXTRATOR DE SUCO ESB SUPER N BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
151,"EXTRATOR DE SUCO EXB-N BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
152,"MULTIPTOCESSADOR DE ALIMENTOS PA 7 PRO BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
153,"LIQUIDIFICADOR INDUSTRIAL 3,5LTS BAIXA ROTAÇÃO",COLOMBO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
154,"LIQUIDIFICADOR INDUSTRIAL 2LTS BAIXA ROTAÇÃO",COLOMBO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
155,"LIQUIDIFICADOR INDUSTRIAL 2LTS LAR2 127V",METVISA,0.00,0.00,4,0,0,0,0,0,_,NUTRIGEL
156,"EXTRATOR DE SUCO ESL 127V",METVISA,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
157,"LIQUIDIFICADOR INDUSTRIAL 6LTS LQL6 127V",METVISA,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
158,"LIQUIDIFICADOR INDUSTRIAL 4LTS LQL4 127V",METVISA,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
159,"EXTRATOR DE SUCO PEQUENO",COLOMBO,0.00,0.00,8,0,0,0,0,0,_,NUTRIGEL
160,"PANELA DE PRESSÃO FECHAMENTO EXTERNO 20LTS",NIGRO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
161,"PANELA DE PRESSÃO FECHAMENTO EXTERNO 15LTS",NIGRO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
162,"PANELA DE PRESSÃO FECHAMENTO EXTERNO 12LTS",NIGRO,0.00,0.00,4,0,0,0,0,0,_,NUTRIGEL
163,"PANELA DE PRESSÃO FECHAMENTO EXTERNO 12LTS",FULGOR,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
164,"PANELA PIPOQUEINA",MTA,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
165,"CILINDRO MANUAL STANDART",BOTINI,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
166,"CILINDRO MANUAL LUXO COM PRENDEDOR",BOTINI,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
